,user_id,article_id
1,306,2515
12,223,2519
15,306,2513
20,306,2514
70,26051,2334
79,3165,2512
82,3165,2511
85,3165,2510
125,24004,1915
141,15180,2516
161,55158,1915
164,55158,2494
232,306,2480
242,170854,53
264,285,2512
265,285,2512
268,285,2510
285,15180,2512
319,306,2513
350,1089,2516
365,1089,2506
372,171124,2458
377,53873,2494
380,53873,1915
383,53873,2458
410,56240,2517
415,171124,1915
420,171124,2494
439,3136,1915
468,55265,2514
475,6140,2512
504,415,2510
513,171124,53
545,19,2509
547,15180,2511
558,103224,1915
560,15180,2514
576,26111,2513
583,223,2504
593,15180,2514
597,15180,2514
604,15180,2510
649,1089,2511
664,55265,2511
667,55265,2510
670,55265,2502
673,55265,2502
674,271,2519
712,26111,2519
727,15180,2517
755,1089,2515
771,15180,2502
775,170954,816
785,170854,2519
795,1089,2514
812,170954,2517
814,271,2514
835,616,1915
837,15180,2510
851,15180,2512
859,6140,2510
860,171017,1915
862,15180,2502
863,15180,2514
864,15180,2514
875,213,2485
890,213,53
912,65514,53
919,254,2510
922,254,2510
925,254,2509
926,6440,2513
929,6440,2513
932,6440,2510
1037,229,2520
1040,229,2519
1043,229,2517
1047,170954,2516
1268,15180,2517
1359,254,2517
1362,254,2513
1365,254,2512
1384,229,2516
1387,229,2516
1390,229,2513
1393,229,2512
1405,213,2494
1408,213,2458
1411,213,1915
1424,170954,2517
1426,6440,2417
1429,6440,2411
1432,6440,2369
1449,616,2458
1451,15180,2510
1453,616,2365
1478,226,2517
1486,3362,2502
1496,170450,2458
1506,202,2517
1511,202,2519
1539,170954,2520
1545,616,2424
1546,616,2424
1557,306,2494
1561,306,2204
1578,226,2516
1582,226,2510
1583,6440,2369
1586,6440,2369
1589,6440,2262
1592,6440,2262
1603,170954,2517
1608,271,2517
1612,3362,2519
1638,226,2514
1641,226,2485
1644,271,2520
1647,306,2264
1655,616,2424
1663,1822,2520
1681,226,2520
1691,226,2480
1694,26111,2520
1705,26111,53
1707,1822,2514
1730,1822,2512
1736,254,2122
1746,254,2519
1751,254,2519
1755,1822,2510
1757,233,2455
1770,1822,2033
1780,6440,2519
1785,202,2515
1791,202,2520
1812,616,2494
1835,485,2520
1870,202,2516
1887,656,2494
1913,3501,1915
1929,10355,50
1970,561,2204
1983,127180,2512
1985,10355,625
2011,127180,2516
2034,341,2520
2035,341,2520
2045,127180,2515
2090,3631,2517
2093,3631,2516
2096,3631,2509
2119,3136,2515
2120,26126,2431
2121,170873,987
2122,26212,2517
2132,241,2522
2135,261,210
2164,56407,2529
2168,56407,2529
2182,3631,2528
2196,10355,53
2204,129660,1915
2210,10355,1915
2250,677,2523
2258,3631,2527
2261,3631,2525
2264,3631,2521
2267,3631,2519
2276,10355,1915
2328,677,2522
2345,677,2520
2366,127180,2514
2374,10355,1915
2381,6140,2523
2393,26126,2431
2395,3501,1915
2398,3501,2521
2409,3136,2523
2426,3136,2524
2430,3136,2515
2432,170873,987
2443,372,2485
2466,26126,987
2476,3136,2522
2491,372,2485
2503,3136,2521
2506,3136,2524
2507,26126,2431
2520,127180,2525
2529,3136,2520
2538,202,2512
2580,684,2521
2592,283,2521
2594,6140,2524
2599,6140,2517
2601,26126,2395
2602,26126,987
2611,561,1915
2613,10355,2514
2675,354,2514
2693,561,2494
2720,3043,2494
2723,3043,2458
2726,3043,1915
2731,369,2187
2755,26147,2494
2803,3165,2515
2831,3165,2483
2834,3165,2480
2837,3165,2470
2863,314,2458
2882,314,2424
2885,314,2365
2888,314,2342
2891,314,2264
2894,285,2512
2897,285,2496
2900,285,2514
2914,271,2514
2918,170954,2514
2919,3040,2458
2936,3165,2264
2940,3165,2513
2943,3165,2512
2946,3165,2510
2949,3165,2506
2953,678,1214
2956,678,1038
2985,3165,2504
2988,3165,2504
2991,3165,2502
3002,280,2514
3005,280,2498
3007,561,2494
3024,369,782
3029,271,2512
3045,3136,2515
3050,254,2457
3104,285,2510
3107,285,2510
3110,285,2512
3116,369,1707
3142,3165,1915
3159,170954,816
3160,369,2342
3164,202,2514
3167,202,2514
3170,202,2512
3214,3136,2510
3232,170954,2514
3235,6993,754
3271,561,1915
3305,3136,2514
3310,3040,1915
3312,3040,2494
3316,487,1915
3458,415,1915
3553,261,210
3570,56407,2529
3591,53992,1915
3597,26002,2529
3598,509,2507
3606,509,2515
3613,509,2518
3648,261,2334
3742,631,2528
3747,631,2512
3757,254,2509
3769,341,2529
3772,341,2528
3785,631,2511
3816,631,2487
3841,56407,2276
3851,254,2529
3857,254,2489
3860,254,2492
3865,254,2489
3868,254,2482
3871,254,2452
3874,254,2508
3890,254,2528
3895,254,2523
3898,254,2522
3901,254,2515
3906,254,2492
3924,56407,2529
3938,55265,2528
3941,55265,2527
3944,55265,2524
3947,55265,2523
3949,26204,2458
3950,26002,50
3951,631,2526
3988,56407,2529
4008,631,2516
4012,631,2510
4020,55265,2529
4023,56407,2529
4026,631,2527
4030,56407,2529
4047,26002,53
4068,565,2528
4096,26204,2494
4100,631,2529
4103,56407,2529
4106,509,2521
4109,509,2518
4112,509,2512
4117,509,2506
4128,509,2531
4163,56407,2529
4165,56407,2529
4172,56407,2529
4173,56407,2529
4215,202,2528
4219,202,2520
4221,171081,2458
4240,26128,2536
4268,202,2524
4271,202,2523
4290,170954,2531
4307,26128,2443
4321,14744,2502
4326,14744,1915
4337,171081,2494
4422,473,2531
4425,171081,2494
4463,415,1915
4478,1499,2503
4520,26128,2536
4522,171081,2506
4530,1039,2458
4533,1039,2264
4536,1039,2187
4537,1039,2187
4542,232,2534
4554,171081,2528
4558,171081,2525
4572,171081,2531
4574,171081,2530
4602,171081,2521
4608,171081,2511
4610,171081,41
4614,26128,2538
4621,171081,2527
4660,73391,2365
4668,171081,2494
4671,232,2508
4683,226,2531
4718,171081,2458
4738,170954,2528
4790,171081,2424
4793,171081,2204
4801,232,2489
4804,232,2488
4809,226,2535
4810,171081,2536
4812,26128,2535
4818,171081,2312
4820,1499,2513
4822,202,2527
