,userid,newsid,nickname,name,sex,head_url,region,autograph,integral,is_big_v,is_first_login,creator_id,news_title,news_subtitle,updated_year,updated_month,updated_day,updated_timestamp,label,useridReindex,newsidReindex
0,306,2515,1,0,1,1,2732,1,414,0,0,3136,1,1,2019,7,13,999.0,1,35,171
1,3165,2515,1,1,1,1,3,0,62,0,0,3136,1,1,2019,7,13,999.0,1,96,171
2,1089,2515,1,1,2,1,1917,0,592,0,0,3136,1,1,2019,7,13,999.0,1,87,171
3,3136,2515,1,1,0,1,1890,1,4907,1,0,3136,1,1,2019,7,13,999.0,1,95,171
4,3136,2515,1,1,0,1,1890,1,4907,1,0,3136,1,1,2019,7,13,999.0,1,95,171
5,3136,2515,1,1,0,1,1890,1,4907,1,0,3136,1,1,2019,7,13,999.0,1,95,171
6,254,2515,1,0,1,1,1891,1,6701,1,0,3136,1,1,2019,7,13,999.0,1,22,171
7,202,2515,1,0,1,1,120,1,168,1,0,3136,1,1,2019,7,13,999.0,1,5,171
8,202,2515,1,0,1,1,120,1,168,1,0,3136,1,1,2019,7,13,999.0,1,5,171
9,127180,2515,1,0,1,1,113,0,0,1,0,3136,1,1,2019,7,13,999.0,1,204,171
10,487,2515,1,0,1,1,1891,0,6839,1,0,3136,1,1,2019,7,13,999.0,1,57,171
11,509,2515,1,0,1,1,1897,1,856,1,0,3136,1,1,2019,7,13,999.0,1,59,171
12,336,2515,1,0,1,1,1891,1,21454,1,0,3136,1,1,2019,7,13,999.0,1,40,171
13,250,2515,1,0,0,1,3,1,6415,1,0,3136,1,1,2019,7,13,999.0,1,21,171
14,53263,2515,1,1,1,1,2478,1,200,0,0,3136,1,1,2019,7,13,999.0,1,159,171
15,306,2513,1,0,1,1,2732,1,414,0,0,306,1,1,2019,7,13,999.0,1,35,169
16,306,2513,1,0,1,1,2732,1,414,0,0,306,1,1,2019,7,13,999.0,1,35,169
17,306,2513,1,0,1,1,2732,1,414,0,0,306,1,1,2019,7,13,999.0,1,35,169
18,306,2513,1,0,1,1,2732,1,414,0,0,306,1,1,2019,7,13,999.0,1,35,169
19,3165,2513,1,1,1,1,3,0,62,0,0,306,1,1,2019,7,13,999.0,1,96,169
20,26111,2513,1,0,1,1,1889,0,1050,1,0,306,1,1,2019,7,13,999.0,1,147,169
21,254,2513,1,0,1,1,1891,1,6701,1,0,306,1,1,2019,7,13,999.0,1,22,169
22,6440,2513,1,1,1,1,1260,0,552,0,0,306,1,1,2019,7,13,999.0,1,118,169
23,6440,2513,1,1,1,1,1260,0,552,0,0,306,1,1,2019,7,13,999.0,1,118,169
24,229,2513,1,0,1,1,2955,1,290,0,0,306,1,1,2019,7,13,999.0,1,14,169
25,1499,2513,1,1,1,1,2992,1,320,0,0,306,1,1,2019,7,13,999.0,1,90,169
26,1499,2513,1,1,1,1,2992,1,320,0,0,306,1,1,2019,7,13,999.0,1,90,169
27,1499,2513,1,1,1,1,2992,1,320,0,0,306,1,1,2019,7,13,999.0,1,90,169
28,1499,2513,1,1,1,1,2992,1,320,0,0,306,1,1,2019,7,13,999.0,1,90,169
29,4680,2513,1,1,1,1,400,0,100,1,0,306,1,1,2019,7,13,999.0,1,114,169
30,4680,2513,1,1,1,1,400,0,100,1,0,306,1,1,2019,7,13,999.0,1,114,169
31,361,2513,1,0,1,1,1906,0,478,0,0,306,1,1,2019,7,13,999.0,1,45,169
32,1831,2513,1,1,2,1,1324,0,528,0,0,306,1,1,2019,7,13,999.0,1,92,169
33,306,2514,1,0,1,1,2732,1,414,0,0,241,1,1,2019,7,13,1000.0,1,35,170
34,15180,2514,1,1,2,1,1132,1,6,1,0,241,1,1,2019,7,13,1000.0,1,129,170
35,15180,2514,1,1,2,1,1132,1,6,1,0,241,1,1,2019,7,13,1000.0,1,129,170
36,15180,2514,1,1,2,1,1132,1,6,1,0,241,1,1,2019,7,13,1000.0,1,129,170
37,15180,2514,1,1,2,1,1132,1,6,1,0,241,1,1,2019,7,13,1000.0,1,129,170
38,15180,2514,1,1,2,1,1132,1,6,1,0,241,1,1,2019,7,13,1000.0,1,129,170
39,285,2514,1,0,1,0,2576,1,5919,1,0,241,1,1,2019,7,13,1000.0,1,31,170
40,1089,2514,1,1,2,1,1917,0,592,0,0,241,1,1,2019,7,13,1000.0,1,87,170
41,3136,2514,1,1,0,1,1890,1,4907,1,0,241,1,1,2019,7,13,1000.0,1,95,170
42,55265,2514,1,0,1,0,274,0,0,0,0,241,1,1,2019,7,13,1000.0,1,176,170
43,271,2514,1,0,2,1,1906,1,29633,1,0,241,1,1,2019,7,13,1000.0,1,27,170
44,271,2514,1,0,2,1,1906,1,29633,1,0,241,1,1,2019,7,13,1000.0,1,27,170
