,userid,newsid,nickname,name,sex,head_url,region,autograph,integral,is_big_v,is_first_login,creator_id,news_title,news_subtitle,updated_year,updated_month,updated_day,updated_timestamp,label
0,306,2515,1,0,1,1,2732,1,414,0,0,3136,1,1,2019,7,13,999.0,1
1,3165,2515,1,1,1,1,3,0,62,0,0,3136,1,1,2019,7,13,999.0,1
2,1089,2515,1,1,2,1,1917,0,592,0,0,3136,1,1,2019,7,13,999.0,1
3,3136,2515,1,1,0,1,1890,1,4907,1,0,3136,1,1,2019,7,13,999.0,1
4,3136,2515,1,1,0,1,1890,1,4907,1,0,3136,1,1,2019,7,13,999.0,1
5,3136,2515,1,1,0,1,1890,1,4907,1,0,3136,1,1,2019,7,13,999.0,1
6,254,2515,1,0,1,1,1891,1,6701,1,0,3136,1,1,2019,7,13,999.0,1
7,202,2515,1,0,1,1,120,1,168,1,0,3136,1,1,2019,7,13,999.0,1
8,202,2515,1,0,1,1,120,1,168,1,0,3136,1,1,2019,7,13,999.0,1
9,127180,2515,1,0,1,1,113,0,0,1,0,3136,1,1,2019,7,13,999.0,1
10,487,2515,1,0,1,1,1891,0,6839,1,0,3136,1,1,2019,7,13,999.0,1
11,509,2515,1,0,1,1,1897,1,856,1,0,3136,1,1,2019,7,13,999.0,1
12,336,2515,1,0,1,1,1891,1,21454,1,0,3136,1,1,2019,7,13,999.0,1
13,250,2515,1,0,0,1,3,1,6415,1,0,3136,1,1,2019,7,13,999.0,1
14,53263,2515,1,1,1,1,2478,1,200,0,0,3136,1,1,2019,7,13,999.0,1
15,306,2513,1,0,1,1,2732,1,414,0,0,306,1,1,2019,7,13,999.0,1
16,306,2513,1,0,1,1,2732,1,414,0,0,306,1,1,2019,7,13,999.0,1
17,306,2513,1,0,1,1,2732,1,414,0,0,306,1,1,2019,7,13,999.0,1
18,306,2513,1,0,1,1,2732,1,414,0,0,306,1,1,2019,7,13,999.0,1
19,3165,2513,1,1,1,1,3,0,62,0,0,306,1,1,2019,7,13,999.0,1
20,26111,2513,1,0,1,1,1889,0,1050,1,0,306,1,1,2019,7,13,999.0,1
21,254,2513,1,0,1,1,1891,1,6701,1,0,306,1,1,2019,7,13,999.0,1
22,6440,2513,1,1,1,1,1260,0,552,0,0,306,1,1,2019,7,13,999.0,1
23,6440,2513,1,1,1,1,1260,0,552,0,0,306,1,1,2019,7,13,999.0,1
24,229,2513,1,0,1,1,2955,1,290,0,0,306,1,1,2019,7,13,999.0,1
25,1499,2513,1,1,1,1,2992,1,320,0,0,306,1,1,2019,7,13,999.0,1
26,1499,2513,1,1,1,1,2992,1,320,0,0,306,1,1,2019,7,13,999.0,1
27,1499,2513,1,1,1,1,2992,1,320,0,0,306,1,1,2019,7,13,999.0,1
28,1499,2513,1,1,1,1,2992,1,320,0,0,306,1,1,2019,7,13,999.0,1
29,4680,2513,1,1,1,1,400,0,100,1,0,306,1,1,2019,7,13,999.0,1
30,4680,2513,1,1,1,1,400,0,100,1,0,306,1,1,2019,7,13,999.0,1
